ensemble,model,weight,quantile,window,horizons
QRA,Case convolution,0.757,,2,"1, 2, 3, 4"
QRA,Rt,0.169,,2,"1, 2, 3, 4"
QRA,Timeseries,0.074,,2,"1, 2, 3, 4"
QRA,Case convolution,0.757,0.01,2,"1, 2, 3, 4"
QRA,Rt,0.169,0.01,2,"1, 2, 3, 4"
QRA,Timeseries,0.074,0.01,2,"1, 2, 3, 4"
QRA,Case convolution,0.757,0.025,2,"1, 2, 3, 4"
QRA,Rt,0.169,0.025,2,"1, 2, 3, 4"
QRA,Timeseries,0.074,0.025,2,"1, 2, 3, 4"
QRA,Case convolution,0.757,0.05,2,"1, 2, 3, 4"
QRA,Rt,0.169,0.05,2,"1, 2, 3, 4"
QRA,Timeseries,0.074,0.05,2,"1, 2, 3, 4"
QRA,Case convolution,0.757,0.1,2,"1, 2, 3, 4"
QRA,Rt,0.169,0.1,2,"1, 2, 3, 4"
QRA,Timeseries,0.074,0.1,2,"1, 2, 3, 4"
QRA,Case convolution,0.757,0.15,2,"1, 2, 3, 4"
QRA,Rt,0.169,0.15,2,"1, 2, 3, 4"
QRA,Timeseries,0.074,0.15,2,"1, 2, 3, 4"
QRA,Case convolution,0.757,0.2,2,"1, 2, 3, 4"
QRA,Rt,0.169,0.2,2,"1, 2, 3, 4"
QRA,Timeseries,0.074,0.2,2,"1, 2, 3, 4"
QRA,Case convolution,0.757,0.25,2,"1, 2, 3, 4"
QRA,Rt,0.169,0.25,2,"1, 2, 3, 4"
QRA,Timeseries,0.074,0.25,2,"1, 2, 3, 4"
QRA,Case convolution,0.757,0.3,2,"1, 2, 3, 4"
QRA,Rt,0.169,0.3,2,"1, 2, 3, 4"
QRA,Timeseries,0.074,0.3,2,"1, 2, 3, 4"
QRA,Case convolution,0.757,0.35,2,"1, 2, 3, 4"
QRA,Rt,0.169,0.35,2,"1, 2, 3, 4"
QRA,Timeseries,0.074,0.35,2,"1, 2, 3, 4"
QRA,Case convolution,0.757,0.4,2,"1, 2, 3, 4"
QRA,Rt,0.169,0.4,2,"1, 2, 3, 4"
QRA,Timeseries,0.074,0.4,2,"1, 2, 3, 4"
QRA,Case convolution,0.757,0.45,2,"1, 2, 3, 4"
QRA,Rt,0.169,0.45,2,"1, 2, 3, 4"
QRA,Timeseries,0.074,0.45,2,"1, 2, 3, 4"
QRA,Case convolution,0.757,0.5,2,"1, 2, 3, 4"
QRA,Rt,0.169,0.5,2,"1, 2, 3, 4"
QRA,Timeseries,0.074,0.5,2,"1, 2, 3, 4"
QRA,Case convolution,0.757,0.55,2,"1, 2, 3, 4"
