ensemble,model,weight,quantile,window,horizons
QRA,Case convolution,0.756,,2,"1, 2, 3, 4"
QRA,Rt,0,,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.01,2,"1, 2, 3, 4"
QRA,Rt,0,0.01,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.01,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.025,2,"1, 2, 3, 4"
QRA,Rt,0,0.025,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.025,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.05,2,"1, 2, 3, 4"
QRA,Rt,0,0.05,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.05,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.1,2,"1, 2, 3, 4"
QRA,Rt,0,0.1,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.1,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.15,2,"1, 2, 3, 4"
QRA,Rt,0,0.15,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.15,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.2,2,"1, 2, 3, 4"
QRA,Rt,0,0.2,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.2,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.25,2,"1, 2, 3, 4"
QRA,Rt,0,0.25,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.25,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.3,2,"1, 2, 3, 4"
QRA,Rt,0,0.3,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.3,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.35,2,"1, 2, 3, 4"
QRA,Rt,0,0.35,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.35,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.4,2,"1, 2, 3, 4"
QRA,Rt,0,0.4,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.4,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.45,2,"1, 2, 3, 4"
QRA,Rt,0,0.45,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.45,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.5,2,"1, 2, 3, 4"
QRA,Rt,0,0.5,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.5,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.55,2,"1, 2, 3, 4"
QRA,Rt,0,0.55,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.55,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.6,2,"1, 2, 3, 4"
QRA,Rt,0,0.6,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.6,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.65,2,"1, 2, 3, 4"
QRA,Rt,0,0.65,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.65,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.7,2,"1, 2, 3, 4"
QRA,Rt,0,0.7,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.7,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.75,2,"1, 2, 3, 4"
QRA,Rt,0,0.75,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.75,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.8,2,"1, 2, 3, 4"
QRA,Rt,0,0.8,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.8,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.85,2,"1, 2, 3, 4"
QRA,Rt,0,0.85,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.85,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.9,2,"1, 2, 3, 4"
QRA,Rt,0,0.9,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.9,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.95,2,"1, 2, 3, 4"
QRA,Rt,0,0.95,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.95,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.975,2,"1, 2, 3, 4"
QRA,Rt,0,0.975,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.975,2,"1, 2, 3, 4"
QRA,Case convolution,0.756,0.99,2,"1, 2, 3, 4"
QRA,Rt,0,0.99,2,"1, 2, 3, 4"
QRA,Timeseries,0.244,0.99,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.766,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.234,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.832,0.01,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0,0.01,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.168,0.01,2,"1, 2, 3, 4"
