ensemble,model,weight,quantile,window,horizons
QRA,Case convolution,0.609,,2,"1, 2, 3, 4"
QRA,Rt,0.146,,2,"1, 2, 3, 4"
QRA,Timeseries,0.245,,2,"1, 2, 3, 4"
QRA,Case convolution,0.609,0.01,2,"1, 2, 3, 4"
QRA,Rt,0.146,0.01,2,"1, 2, 3, 4"
QRA,Timeseries,0.245,0.01,2,"1, 2, 3, 4"
QRA,Case convolution,0.609,0.025,2,"1, 2, 3, 4"
QRA,Rt,0.146,0.025,2,"1, 2, 3, 4"
QRA,Timeseries,0.245,0.025,2,"1, 2, 3, 4"
QRA,Case convolution,0.609,0.05,2,"1, 2, 3, 4"
QRA,Rt,0.146,0.05,2,"1, 2, 3, 4"
QRA,Timeseries,0.245,0.05,2,"1, 2, 3, 4"
QRA,Case convolution,0.609,0.1,2,"1, 2, 3, 4"
QRA,Rt,0.146,0.1,2,"1, 2, 3, 4"
QRA,Timeseries,0.245,0.1,2,"1, 2, 3, 4"
QRA,Case convolution,0.609,0.15,2,"1, 2, 3, 4"
QRA,Rt,0.146,0.15,2,"1, 2, 3, 4"
QRA,Timeseries,0.245,0.15,2,"1, 2, 3, 4"
QRA,Case convolution,0.609,0.2,2,"1, 2, 3, 4"
QRA,Rt,0.146,0.2,2,"1, 2, 3, 4"
QRA,Timeseries,0.245,0.2,2,"1, 2, 3, 4"
QRA,Case convolution,0.609,0.25,2,"1, 2, 3, 4"
QRA,Rt,0.146,0.25,2,"1, 2, 3, 4"
QRA,Timeseries,0.245,0.25,2,"1, 2, 3, 4"
QRA,Case convolution,0.609,0.3,2,"1, 2, 3, 4"
QRA,Rt,0.146,0.3,2,"1, 2, 3, 4"
QRA,Timeseries,0.245,0.3,2,"1, 2, 3, 4"
QRA,Case convolution,0.609,0.35,2,"1, 2, 3, 4"
QRA,Rt,0.146,0.35,2,"1, 2, 3, 4"
QRA,Timeseries,0.245,0.35,2,"1, 2, 3, 4"
QRA,Case convolution,0.609,0.4,2,"1, 2, 3, 4"
QRA,Rt,0.146,0.4,2,"1, 2, 3, 4"
QRA,Timeseries,0.245,0.4,2,"1, 2, 3, 4"
QRA,Case convolution,0.609,0.45,2,"1, 2, 3, 4"
QRA,Rt,0.146,0.45,2,"1, 2, 3, 4"
QRA,Timeseries,0.245,0.45,2,"1, 2, 3, 4"
QRA,Case convolution,0.609,0.5,2,"1, 2, 3, 4"
QRA,Rt,0.146,0.5,2,"1, 2, 3, 4"
QRA,Timeseries,0.245,0.5,2,"1, 2, 3, 4"
QRA,Case convolution,0.609,0.55,2,"1, 2, 3, 4"
QRA,Rt,0.146,0.55,2,"1, 2, 3, 4"
