ensemble,model,weight,quantile,window,horizons
QRA,Case convolution,0.952,,2,"1, 2, 3, 4"
QRA,Rt,0.007,,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.01,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.01,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.01,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.025,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.025,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.025,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.05,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.05,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.05,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.1,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.1,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.1,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.15,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.15,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.15,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.2,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.2,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.2,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.25,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.25,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.25,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.3,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.3,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.3,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.35,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.35,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.35,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.4,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.4,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.4,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.45,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.45,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.45,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.5,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.5,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.5,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.55,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.55,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.55,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.6,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.6,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.6,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.65,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.65,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.65,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.7,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.7,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.7,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.75,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.75,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.75,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.8,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.8,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.8,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.85,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.85,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.85,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.9,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.9,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.9,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.95,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.95,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.95,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.975,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.975,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.975,2,"1, 2, 3, 4"
QRA,Case convolution,0.952,0.99,2,"1, 2, 3, 4"
QRA,Rt,0.007,0.99,2,"1, 2, 3, 4"
QRA,Timeseries,0.041,0.99,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.952,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.007,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.041,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.952,0.01,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.008,0.01,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.041,0.01,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.952,0.025,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.008,0.025,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.041,0.025,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.952,0.05,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.008,0.05,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.041,0.05,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.952,0.1,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.008,0.1,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.041,0.1,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.952,0.15,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.008,0.15,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.041,0.15,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.952,0.2,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.007,0.2,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.041,0.2,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.952,0.25,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.007,0.25,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.041,0.25,2,"1, 2, 3, 4"
