ensemble,model,weight,quantile,window,horizons
QRA,Case convolution,0.418,,2,"1, 2, 3, 4"
QRA,Rt,0.399,,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.01,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.01,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.01,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.025,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.025,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.025,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.05,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.05,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.05,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.1,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.1,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.1,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.15,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.15,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.15,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.2,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.2,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.2,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.25,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.25,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.25,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.3,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.3,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.3,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.35,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.35,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.35,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.4,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.4,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.4,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.45,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.45,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.45,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.5,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.5,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.5,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.55,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.55,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.55,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.6,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.6,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.6,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.65,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.65,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.65,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.7,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.7,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.7,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.75,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.75,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.75,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.8,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.8,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.8,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.85,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.85,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.85,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.9,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.9,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.9,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.95,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.95,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.95,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.975,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.975,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.975,2,"1, 2, 3, 4"
QRA,Case convolution,0.418,0.99,2,"1, 2, 3, 4"
QRA,Rt,0.399,0.99,2,"1, 2, 3, 4"
QRA,Timeseries,0.183,0.99,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.411,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.41,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.18,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.448,0.01,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.448,0.01,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.104,0.01,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.448,0.025,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.448,0.025,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.104,0.025,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.448,0.05,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.448,0.05,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.104,0.05,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.448,0.1,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.448,0.1,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.104,0.1,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.448,0.15,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.448,0.15,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.104,0.15,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.402,0.2,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.471,0.2,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.127,0.2,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.402,0.25,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.471,0.25,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.127,0.25,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.402,0.3,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.471,0.3,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.127,0.3,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.402,0.35,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.471,0.35,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.127,0.35,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.411,0.4,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.41,0.4,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.18,0.4,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.411,0.45,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.41,0.45,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.18,0.45,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.411,0.5,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.41,0.5,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.18,0.5,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.411,0.55,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.41,0.55,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.18,0.55,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.411,0.6,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.41,0.6,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.18,0.6,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.411,0.65,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.41,0.65,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.18,0.65,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.411,0.7,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.41,0.7,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.18,0.7,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.411,0.75,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.41,0.75,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.18,0.75,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.411,0.8,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.41,0.8,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.18,0.8,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.393,0.85,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.365,0.85,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.242,0.85,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.393,0.9,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.365,0.9,2,"1, 2, 3, 4"
