ensemble,model,weight,quantile,window,horizons
QRA,Case convolution,0.942,,2,"1, 2, 3, 4"
QRA,Rt,0.058,,2,"1, 2, 3, 4"
QRA,Timeseries,0,,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.01,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.01,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.01,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.025,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.025,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.025,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.05,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.05,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.05,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.1,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.1,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.1,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.15,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.15,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.15,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.2,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.2,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.2,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.25,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.25,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.25,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.3,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.3,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.3,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.35,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.35,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.35,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.4,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.4,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.4,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.45,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.45,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.45,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.5,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.5,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.5,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.55,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.55,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.55,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.6,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.6,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.6,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.65,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.65,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.65,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.7,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.7,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.7,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.75,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.75,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.75,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.8,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.8,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.8,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.85,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.85,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.85,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.9,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.9,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.9,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.95,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.95,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.95,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.975,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.975,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.975,2,"1, 2, 3, 4"
QRA,Case convolution,0.942,0.99,2,"1, 2, 3, 4"
QRA,Rt,0.058,0.99,2,"1, 2, 3, 4"
QRA,Timeseries,0,0.99,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.933,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.067,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.933,0.01,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.067,0.01,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0,0.01,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.933,0.025,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.067,0.025,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0,0.025,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.933,0.05,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.067,0.05,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0,0.05,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.933,0.1,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.067,0.1,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0,0.1,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.933,0.15,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.067,0.15,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0,0.15,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.933,0.2,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.067,0.2,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0,0.2,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.933,0.25,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.067,0.25,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0,0.25,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.933,0.3,2,"1, 2, 3, 4"
