ensemble,model,weight,quantile,window,horizons
QRA,Case convolution,0.394,,2,"1, 2, 3, 4"
QRA,Rt,0.476,,2,"1, 2, 3, 4"
QRA,Timeseries,0.129,,2,"1, 2, 3, 4"
QRA,Case convolution,0.394,0.01,2,"1, 2, 3, 4"
QRA,Rt,0.476,0.01,2,"1, 2, 3, 4"
QRA,Timeseries,0.129,0.01,2,"1, 2, 3, 4"
QRA,Case convolution,0.394,0.025,2,"1, 2, 3, 4"
QRA,Rt,0.476,0.025,2,"1, 2, 3, 4"
QRA,Timeseries,0.129,0.025,2,"1, 2, 3, 4"
QRA,Case convolution,0.394,0.05,2,"1, 2, 3, 4"
QRA,Rt,0.476,0.05,2,"1, 2, 3, 4"
QRA,Timeseries,0.129,0.05,2,"1, 2, 3, 4"
QRA,Case convolution,0.394,0.1,2,"1, 2, 3, 4"
QRA,Rt,0.476,0.1,2,"1, 2, 3, 4"
QRA,Timeseries,0.129,0.1,2,"1, 2, 3, 4"
QRA,Case convolution,0.394,0.15,2,"1, 2, 3, 4"
QRA,Rt,0.476,0.15,2,"1, 2, 3, 4"
QRA,Timeseries,0.129,0.15,2,"1, 2, 3, 4"
QRA,Case convolution,0.394,0.2,2,"1, 2, 3, 4"
QRA,Rt,0.476,0.2,2,"1, 2, 3, 4"
QRA,Timeseries,0.129,0.2,2,"1, 2, 3, 4"
QRA,Case convolution,0.394,0.25,2,"1, 2, 3, 4"
QRA,Rt,0.476,0.25,2,"1, 2, 3, 4"
QRA,Timeseries,0.129,0.25,2,"1, 2, 3, 4"
QRA,Case convolution,0.394,0.3,2,"1, 2, 3, 4"
QRA,Rt,0.476,0.3,2,"1, 2, 3, 4"
QRA,Timeseries,0.129,0.3,2,"1, 2, 3, 4"
QRA,Case convolution,0.394,0.35,2,"1, 2, 3, 4"
QRA,Rt,0.476,0.35,2,"1, 2, 3, 4"
QRA,Timeseries,0.129,0.35,2,"1, 2, 3, 4"
QRA,Case convolution,0.394,0.4,2,"1, 2, 3, 4"
QRA,Rt,0.476,0.4,2,"1, 2, 3, 4"
QRA,Timeseries,0.129,0.4,2,"1, 2, 3, 4"
QRA,Case convolution,0.394,0.45,2,"1, 2, 3, 4"
QRA,Rt,0.476,0.45,2,"1, 2, 3, 4"
QRA,Timeseries,0.129,0.45,2,"1, 2, 3, 4"
QRA,Case convolution,0.394,0.5,2,"1, 2, 3, 4"
QRA,Rt,0.476,0.5,2,"1, 2, 3, 4"
QRA,Timeseries,0.129,0.5,2,"1, 2, 3, 4"
QRA,Case convolution,0.394,0.55,2,"1, 2, 3, 4"
