ensemble,model,weight,quantile,window,horizons
QRA (weighted quantiles),Timeseries,0.166,0.05,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.381,0.1,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.1,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.166,0.1,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.381,0.15,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.15,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.166,0.15,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.381,0.2,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.2,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.166,0.2,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.381,0.25,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.25,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.166,0.25,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.381,0.3,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.3,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.166,0.3,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.381,0.35,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.35,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.166,0.35,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.346,0.4,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.4,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.201,0.4,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.346,0.45,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.45,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.201,0.45,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.346,0.5,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.5,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.201,0.5,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.346,0.55,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.55,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.201,0.55,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.346,0.6,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.6,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.201,0.6,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.317,0.65,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.65,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.23,0.65,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.317,0.7,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.7,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.23,0.7,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.317,0.75,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.75,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.23,0.75,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.317,0.8,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.453,0.8,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.23,0.8,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.291,0.85,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.355,0.85,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.355,0.85,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.291,0.9,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.355,0.9,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.355,0.9,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.291,0.95,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.355,0.95,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.355,0.95,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.291,0.975,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.355,0.975,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.355,0.975,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.291,0.99,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.355,0.99,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.355,0.99,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.261,,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.577,,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.163,,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.268,0.01,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.646,0.01,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.087,0.01,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.268,0.025,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.646,0.025,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.087,0.025,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.268,0.05,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.646,0.05,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.087,0.05,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.268,0.1,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.646,0.1,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.087,0.1,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.268,0.15,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.646,0.15,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.087,0.15,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.268,0.2,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.646,0.2,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.087,0.2,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.268,0.25,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.646,0.25,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.087,0.25,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.268,0.3,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.646,0.3,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.087,0.3,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.268,0.35,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.646,0.35,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.087,0.35,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.261,0.4,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.577,0.4,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.163,0.4,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.261,0.45,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.577,0.45,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.163,0.45,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.261,0.5,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.577,0.5,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.163,0.5,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.261,0.55,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.577,0.55,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.163,0.55,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.261,0.6,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.577,0.6,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.163,0.6,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.237,0.65,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.577,0.65,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.186,0.65,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.237,0.7,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.577,0.7,2,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.186,0.7,2,"1, 2, 3, 4"
