ensemble,model,weight,quantile,window,horizons
QRA,Case convolution,0.969,,2,"1, 2, 3, 4"
QRA,Rt,0.015,,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.01,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.01,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.01,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.025,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.025,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.025,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.05,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.05,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.05,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.1,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.1,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.1,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.15,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.15,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.15,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.2,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.2,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.2,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.25,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.25,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.25,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.3,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.3,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.3,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.35,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.35,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.35,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.4,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.4,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.4,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.45,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.45,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.45,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.5,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.5,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.5,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.55,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.55,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.55,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.6,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.6,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.6,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.65,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.65,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.65,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.7,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.7,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.7,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.75,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.75,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.75,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.8,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.8,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.8,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.85,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.85,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.85,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.9,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.9,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.9,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.95,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.95,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.95,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.975,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.975,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.975,2,"1, 2, 3, 4"
QRA,Case convolution,0.969,0.99,2,"1, 2, 3, 4"
QRA,Rt,0.015,0.99,2,"1, 2, 3, 4"
QRA,Timeseries,0.017,0.99,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.913,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.059,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.027,,2,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.889,0.01,2,"1, 2, 3, 4"
