ensemble,model,weight,quantile,window,horizons
QRA,Case convolution,0.616,,2,"1, 2, 3, 4"
QRA,Rt,0,,2,"1, 2, 3, 4"
QRA,Timeseries,0.384,,2,"1, 2, 3, 4"
QRA,Case convolution,0.616,0.01,2,"1, 2, 3, 4"
QRA,Rt,0,0.01,2,"1, 2, 3, 4"
QRA,Timeseries,0.384,0.01,2,"1, 2, 3, 4"
QRA,Case convolution,0.616,0.025,2,"1, 2, 3, 4"
QRA,Rt,0,0.025,2,"1, 2, 3, 4"
QRA,Timeseries,0.384,0.025,2,"1, 2, 3, 4"
QRA,Case convolution,0.616,0.05,2,"1, 2, 3, 4"
QRA,Rt,0,0.05,2,"1, 2, 3, 4"
QRA,Timeseries,0.384,0.05,2,"1, 2, 3, 4"
QRA,Case convolution,0.616,0.1,2,"1, 2, 3, 4"
QRA,Rt,0,0.1,2,"1, 2, 3, 4"
QRA,Timeseries,0.384,0.1,2,"1, 2, 3, 4"
QRA,Case convolution,0.616,0.15,2,"1, 2, 3, 4"
QRA,Rt,0,0.15,2,"1, 2, 3, 4"
QRA,Timeseries,0.384,0.15,2,"1, 2, 3, 4"
QRA,Case convolution,0.616,0.2,2,"1, 2, 3, 4"
QRA,Rt,0,0.2,2,"1, 2, 3, 4"
QRA,Timeseries,0.384,0.2,2,"1, 2, 3, 4"
QRA,Case convolution,0.616,0.25,2,"1, 2, 3, 4"
QRA,Rt,0,0.25,2,"1, 2, 3, 4"
QRA,Timeseries,0.384,0.25,2,"1, 2, 3, 4"
QRA,Case convolution,0.616,0.3,2,"1, 2, 3, 4"
QRA,Rt,0,0.3,2,"1, 2, 3, 4"
QRA,Timeseries,0.384,0.3,2,"1, 2, 3, 4"
QRA,Case convolution,0.616,0.35,2,"1, 2, 3, 4"
QRA,Rt,0,0.35,2,"1, 2, 3, 4"
QRA,Timeseries,0.384,0.35,2,"1, 2, 3, 4"
QRA,Case convolution,0.616,0.4,2,"1, 2, 3, 4"
QRA,Rt,0,0.4,2,"1, 2, 3, 4"
QRA,Timeseries,0.384,0.4,2,"1, 2, 3, 4"
QRA,Case convolution,0.616,0.45,2,"1, 2, 3, 4"
