week,state,state_code,date_created,model_type,weekly_count,quantile,deaths
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.01,839
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.025,839
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.05,839
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.1,839
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.15000000000000002,839
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.2,839
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.25,839
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.3,839
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.35000000000000003,839
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.4,845
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.45,861
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.5,881
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.55,898
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.6000000000000001,915
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.6500000000000001,932
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.7000000000000001,954
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.7500000000000001,976
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.8,997
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.8500000000000001,1024
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.9000000000000001,1054
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.95,1107
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.975,1152
2020-06-21,Alabama,01,2020-06-22,deaths_on_cases,cumulative,0.99,1211
2020-06-21,Alaska,02,2020-06-22,deaths_on_cases,cumulative,0.01,12
