forecast_date,target,target_end_date,location,type,quantile,value
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.01,2247
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.025,2634
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.05,2925
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.1,3247
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.15000000000000002,3481
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.2,3702
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.25,3867
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.3,3996
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.35000000000000003,4133
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.4,4256
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.45,4398
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.5,4527
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.55,4641
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.6000000000000001,4765
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.6500000000000001,4899
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.7000000000000001,5054
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.7500000000000001,5175
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.8,5289
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.8500000000000001,5482
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.9000000000000001,5738
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.95,6067
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.975,6357
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.99,6675
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.01,1659
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.025,2172
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.05,2597
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.1,3033
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.15000000000000002,3265
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.2,3517
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.25,3719
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.3,3868
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.35000000000000003,4053
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.4,4178
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.45,4302
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.5,4445
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.55,4551
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.6000000000000001,4709
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.6500000000000001,4869
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.7000000000000001,5037
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.7500000000000001,5229
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.8,5439
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.8500000000000001,5659
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.9000000000000001,5917
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.95,6360
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.975,6695
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.99,7119
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.01,1528
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.025,1966
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.05,2287
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.1,2773
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.15000000000000002,3052
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.2,3316
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.25,3541
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.3,3775
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.35000000000000003,3904
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.4,4094
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.45,4280
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.5,4414
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.55,4613
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.6000000000000001,4776
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.6500000000000001,4978
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.7000000000000001,5122
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.7500000000000001,5338
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.8,5554
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.8500000000000001,5768
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.9000000000000001,6106
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.95,6674
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.975,6904
2020-07-19,3 wk ahead inc death,2020-08-08,US,quantile,0.99,7402
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.01,1200
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.025,1521
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.05,1958
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.1,2399
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.15000000000000002,2793
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.2,3085
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.25,3340
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.3,3572
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.35000000000000003,3760
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.4,3948
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.45,4125
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.5,4281
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.55,4448
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.6000000000000001,4638
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.6500000000000001,4847
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.7000000000000001,5040
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.7500000000000001,5259
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.8,5531
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.8500000000000001,5760
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.9000000000000001,6113
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.95,6652
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.975,7128
2020-07-19,4 wk ahead inc death,2020-08-15,US,quantile,0.99,7391
2020-07-19,1 wk ahead inc death,2020-07-25,01,quantile,0.01,69
2020-07-19,1 wk ahead inc death,2020-07-25,01,quantile,0.025,73
2020-07-19,1 wk ahead inc death,2020-07-25,01,quantile,0.05,81
2020-07-19,1 wk ahead inc death,2020-07-25,01,quantile,0.1,86
2020-07-19,1 wk ahead inc death,2020-07-25,01,quantile,0.15000000000000002,89
2020-07-19,1 wk ahead inc death,2020-07-25,01,quantile,0.2,93
2020-07-19,1 wk ahead inc death,2020-07-25,01,quantile,0.25,96
2020-07-19,1 wk ahead inc death,2020-07-25,01,quantile,0.3,98
2020-07-19,1 wk ahead inc death,2020-07-25,01,quantile,0.35000000000000003,100
2020-07-19,1 wk ahead inc death,2020-07-25,01,quantile,0.4,102
