date,confirm,region
2020-09-21,2,Alabama
2020-09-22,18,Alabama
2020-09-23,31,Alabama
2020-09-24,18,Alabama
2020-09-25,0,Alabama
2020-09-26,10,Alabama
2020-09-27,0,Alabama
2020-09-28,0,Alabama
2020-09-29,16,Alabama
2020-09-30,23,Alabama
2020-10-01,8,Alabama
2020-10-02,2,Alabama
2020-10-03,8,Alabama
2020-10-04,0,Alabama
2020-10-05,1,Alabama
2020-10-06,21,Alabama
2020-10-07,21,Alabama
2020-10-08,36,Alabama
2020-10-09,16,Alabama
2020-10-10,11,Alabama
2020-10-11,0,Alabama
2020-10-12,1,Alabama
2020-10-13,0,Alabama
2020-10-14,41,Alabama
2020-10-15,50,Alabama
2020-10-16,30,Alabama
2020-10-17,2,Alabama
2020-10-18,0,Alabama
2020-10-19,1,Alabama
2020-10-20,16,Alabama
2020-10-21,23,Alabama
2020-10-22,15,Alabama
2020-10-23,16,Alabama
2020-10-24,7,Alabama
2020-10-25,0,Alabama
2020-10-26,0,Alabama
2020-10-27,26,Alabama
2020-10-28,19,Alabama
2020-10-29,3,Alabama
2020-10-30,18,Alabama
2020-10-31,35,Alabama
2020-11-01,6,Alabama
2020-11-02,0,Alabama
2020-11-03,14,Alabama
2020-11-04,19,Alabama
2020-11-05,20,Alabama
2020-11-06,23,Alabama
2020-11-07,33,Alabama
2020-11-08,2,Alabama
2020-11-09,0,Alabama
2020-11-10,36,Alabama
2020-11-11,81,Alabama
2020-11-12,12,Alabama
2020-11-13,18,Alabama
2020-11-14,15,Alabama
2020-11-15,2,Alabama
2020-11-16,1,Alabama
2020-11-17,52,Alabama
2020-11-18,46,Alabama
2020-11-19,72,Alabama
2020-11-20,32,Alabama
2020-11-21,6,Alabama
2020-11-22,0,Alabama
2020-11-23,2,Alabama
2020-11-24,13,Alabama
2020-11-25,60,Alabama
2020-11-26,40,Alabama
2020-11-27,0,Alabama
2020-11-28,0,Alabama
2020-11-29,5,Alabama
2020-11-30,1,Alabama
2020-12-01,60,Alabama
2020-12-02,73,Alabama
2020-12-03,65,Alabama
2020-12-04,55,Alabama
2020-12-05,46,Alabama
2020-12-06,12,Alabama
2020-12-07,3,Alabama
2020-12-08,50,Alabama
2020-12-09,43,Alabama
2020-12-10,49,Alabama
2020-12-11,52,Alabama
2020-12-12,16,Alabama
2020-12-13,0,Alabama
2020-09-21,0,Alaska
2020-09-22,0,Alaska
2020-09-23,0,Alaska
2020-09-24,1,Alaska
2020-09-25,6,Alaska
2020-09-26,0,Alaska
2020-09-27,4,Alaska
2020-09-28,0,Alaska
2020-09-29,0,Alaska
2020-09-30,0,Alaska
2020-10-01,1,Alaska
2020-10-02,0,Alaska
2020-10-03,1,Alaska
2020-10-04,0,Alaska
2020-10-05,0,Alaska
2020-10-06,0,Alaska
2020-10-07,1,Alaska
2020-10-08,1,Alaska
2020-10-09,0,Alaska
2020-10-10,0,Alaska
2020-10-11,0,Alaska
2020-10-12,0,Alaska
2020-10-13,0,Alaska
2020-10-14,4,Alaska
2020-10-15,1,Alaska
2020-10-16,1,Alaska
2020-10-17,1,Alaska
2020-10-18,0,Alaska
2020-10-19,0,Alaska
2020-10-20,0,Alaska
2020-10-21,1,Alaska
2020-10-22,0,Alaska
2020-10-23,0,Alaska
2020-10-24,0,Alaska
2020-10-25,0,Alaska
2020-10-26,0,Alaska
2020-10-27,2,Alaska
2020-10-28,1,Alaska
2020-10-29,6,Alaska
2020-10-30,4,Alaska
2020-10-31,1,Alaska
2020-11-01,1,Alaska
2020-11-02,1,Alaska
2020-11-03,0,Alaska
2020-11-04,0,Alaska
2020-11-05,0,Alaska
2020-11-06,0,Alaska
2020-11-07,0,Alaska
2020-11-08,0,Alaska
2020-11-09,0,Alaska
2020-11-10,8,Alaska
2020-11-11,4,Alaska
2020-11-12,0,Alaska
2020-11-13,1,Alaska
2020-11-14,1,Alaska
2020-11-15,0,Alaska
2020-11-16,0,Alaska
2020-11-17,2,Alaska
2020-11-18,0,Alaska
2020-11-19,1,Alaska
2020-11-20,0,Alaska
2020-11-21,1,Alaska
2020-11-22,1,Alaska
2020-11-23,0,Alaska
2020-11-24,13,Alaska
2020-11-25,0,Alaska
2020-11-26,3,Alaska
2020-11-27,0,Alaska
2020-11-28,2,Alaska
2020-11-29,0,Alaska
2020-11-30,0,Alaska
2020-12-01,1,Alaska
2020-12-02,0,Alaska
2020-12-03,8,Alaska
2020-12-04,12,Alaska
2020-12-05,1,Alaska
2020-12-06,0,Alaska
2020-12-07,3,Alaska
2020-12-08,0,Alaska
2020-12-09,4,Alaska
2020-12-10,5,Alaska
2020-12-11,3,Alaska
2020-12-12,18,Alaska
2020-12-13,0,Alaska
2020-09-21,1,Arizona
2020-09-22,20,Arizona
2020-09-23,27,Arizona
2020-09-24,34,Arizona
2020-09-25,28,Arizona
2020-09-26,35,Arizona
2020-09-27,1,Arizona
2020-09-28,1,Arizona
2020-09-29,8,Arizona
2020-09-30,18,Arizona
2020-10-01,24,Arizona
2020-10-02,19,Arizona
2020-10-03,12,Arizona
2020-10-04,1,Arizona
2020-10-05,1,Arizona
2020-10-06,6,Arizona
2020-10-07,20,Arizona
2020-10-08,10,Arizona
2020-10-09,3,Arizona
2020-10-10,13,Arizona
2020-10-11,0,Arizona
2020-10-12,0,Arizona
2020-10-13,8,Arizona
2020-10-14,5,Arizona
2020-10-15,17,Arizona
2020-10-16,17,Arizona
2020-10-17,18,Arizona
2020-10-18,3,Arizona
2020-10-19,3,Arizona
2020-10-20,7,Arizona
2020-10-21,17,Arizona
2020-10-22,5,Arizona
2020-10-23,6,Arizona
2020-10-24,4,Arizona
2020-10-25,5,Arizona
2020-10-26,1,Arizona
2020-10-27,16,Arizona
2020-10-28,14,Arizona
2020-10-29,13,Arizona
2020-10-30,16,Arizona
2020-10-31,45,Arizona
2020-11-01,0,Arizona
2020-11-02,3,Arizona
2020-11-03,38,Arizona
2020-11-04,39,Arizona
2020-11-05,28,Arizona
2020-11-06,22,Arizona
2020-11-07,38,Arizona
2020-11-08,17,Arizona
2020-11-09,0,Arizona
2020-11-10,28,Arizona
2020-11-11,36,Arizona
2020-11-12,12,Arizona
2020-11-13,17,Arizona
2020-11-14,43,Arizona
2020-11-15,2,Arizona
2020-11-16,0,Arizona
2020-11-17,10,Arizona
2020-11-18,53,Arizona
2020-11-19,19,Arizona
2020-11-20,43,Arizona
2020-11-21,30,Arizona
2020-11-22,7,Arizona
2020-11-23,0,Arizona
2020-11-24,51,Arizona
2020-11-25,9,Arizona
2020-11-26,44,Arizona
2020-11-27,20,Arizona
2020-11-28,36,Arizona
2020-11-29,10,Arizona
2020-11-30,5,Arizona
2020-12-01,48,Arizona
2020-12-02,52,Arizona
2020-12-03,82,Arizona
2020-12-04,64,Arizona
2020-12-05,40,Arizona
2020-12-06,25,Arizona
2020-12-07,0,Arizona
2020-12-08,23,Arizona
2020-12-09,108,Arizona
2020-12-10,73,Arizona
