region,date,primary,secondary,mean,sd,median,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alabama,2020-06-22,649,2,,,,,,,,,
Alabama,2020-06-23,1118,23,,,,,,,,,
Alabama,2020-06-24,989,27,,,,,,,,,
Alabama,2020-06-25,1002,5,,,,,,,,,
Alabama,2020-06-26,1023,11,,,,,,,,,
Alabama,2020-06-27,180,12,,,,,,,,,
Alabama,2020-06-28,1420,0,,,,,,,,,
Alabama,2020-06-29,1086,10,,,,,,,,,
Alabama,2020-06-30,888,21,,,,,,,,,
Alabama,2020-07-01,1170,22,,,,,,,,,
Alabama,2020-07-02,1693,13,,,,,,,,,
Alabama,2020-07-03,915,21,,,,,,,,,
Alabama,2020-07-04,961,1,,,,,,,,,
Alabama,2020-07-05,806,0,,,,,,,,,
Alabama,2020-07-06,910,0,,,,,,,,,
Alabama,2020-07-07,1416,26,,,,,,,,,
Alabama,2020-07-08,1801,25,,,,,,,,,
Alabama,2020-07-09,1546,10,,,,,,,,,
Alabama,2020-07-10,1634,36,,,,,,,,,
Alabama,2020-07-11,1473,10,,,,,,,,,
Alabama,2020-07-12,1979,7,,,,,,,,,
Alabama,2020-07-13,1387,3,,,,,,,,,
Alabama,2020-07-14,2116,40,,,,,,,,,
Alabama,2020-07-15,1910,47,,,,,,,,,
Alabama,2020-07-16,1934,19,,,,,,,,,
Alabama,2020-07-17,2024,35,,,,,,,,,
Alabama,2020-07-18,2029,21,,,,,,,,,
Alabama,2020-07-19,1552,1,,,,,,,,,
Alabama,2020-07-20,1503,4,,,,,,,,,
Alabama,2020-07-21,1364,12,,,,,,,,,
Alabama,2020-07-22,1994,61,,,,,,,,,
Alabama,2020-07-23,2091,33,,,,,,,,,
Alabama,2020-07-24,2110,41,,,,,,,,,
Alabama,2020-07-25,1393,18,,,,,,,,,
Alabama,2020-07-26,1760,17,,,,,,,,,
Alabama,2020-07-27,1308,18,,,,,,,,,
Alabama,2020-07-28,1442,0,,,,,,,,,
Alabama,2020-07-29,1954,47,,,,,,,,,
Alabama,2020-07-30,2012,27,,,,,,,,,
Alabama,2020-07-31,1602,15,,,,,,,,,
Alabama,2020-08-01,2033,23,,,,,,,,,
Alabama,2020-08-02,1159,24,,,,,,,,,
Alabama,2020-08-03,1044,6,,,,,,,,,
Alabama,2020-08-04,955,33,,,,,,,,,
Alabama,2020-08-05,1866,29,,,,,,,,,
Alabama,2020-08-06,1721,19,,,,,,,,,
Alabama,2020-08-07,1851,21,,,,,,,,,
Alabama,2020-08-08,959,20,,,,,,,,,
Alabama,2020-08-09,1612,13,,,,,,,,,
Alabama,2020-08-10,925,29,,,,,,,,,
Alabama,2020-08-11,1094,50,,,,,,,,,
Alabama,2020-08-12,734,35,,,,,,,,,
Alabama,2020-08-13,757,8,,,,,,,,,
Alabama,2020-08-14,1120,3,,,,,,,,,
Alabama,2020-08-15,830,3,,,,,,,,,
Alabama,2020-08-16,741,2,,,,,,,,,
Alabama,2020-08-17,1425,27,,,,,,,,,
Alabama,2020-08-18,863,,26.3,28,19,1.9,8,14,24,33,79
Alabama,2020-08-19,940.5,,44.5,49,30,2,13,21,38.4,59,134
Alabama,2020-08-20,932,,23.3,25.1,16,1,7,12,21,31,71
Alabama,2020-08-21,945,,21.1,23,14,1,6,11,18.4,27.2,66
Alabama,2020-08-22,715,,17.7,25.7,12,0,6,9,15,22,53
Alabama,2020-08-23,784,,13.6,14.3,9,1,4,7,12,19,39
Alabama,2020-08-24,659.5,,15.5,16.2,11,0.9,5,8,14,20,49
Alabama,2020-08-25,692.5,,21.4,23.9,14,1,7,11,18,29,64
Alabama,2020-08-26,761.5,,35.1,39.1,24,2,11,17.6,31,45,109
Alabama,2020-08-27,758.5,,20.2,22.2,13,1,6,10,17,26,62
Alabama,2020-08-28,733,,18.8,22,12,1,5,9,15,24,57
Alabama,2020-08-29,558,,14,15.4,9,0,4,7,12,18,45
Alabama,2020-08-30,605.5,,12.1,13.5,8,0,3,6,11,15.2,37
Alabama,2020-08-31,519,,12.2,14,8,0,3,6,10.4,15.2,39
Alabama,2020-09-01,559,,17.5,18.9,12,1,5,8,16,24,53
Alabama,2020-09-02,626.5,,29.1,29.2,21,2,9,16,27,39,83
Alabama,2020-09-03,583,,17.5,21.7,12,1,5,9,15,23,51
Alabama,2020-09-04,585.5,,15.3,17.9,10,0,4,7,13,20,47
Alabama,2020-09-05,441.5,,11.7,15.6,7,0,3,5.6,10,15,36
Alabama,2020-09-06,470.5,,9.5,10.5,6,0,3,4,8,12,31
Alabama,2020-09-07,414,,11.3,13,7,0,3,6,9,15,37
Alabama,2020-09-08,422.5,,15.4,23.5,9,0,4,6,12,18,50
Alabama,2020-09-09,476.5,,26.1,32.9,16.5,1,7,13,21,33,79.1
Alabama,2020-09-10,451,,14.5,18.9,8,1,4,6,12,18,45
Alabama,2020-09-11,458.5,,13.3,18.2,7,0,3,6,10,16,43
Alabama,2020-09-12,346,,11.2,17,6,0,2.8,5,8,13,38
Alabama,2020-09-13,372.5,,8.7,11.2,5,0,2,4,7,11,29
Alabama,2020-09-14,313,,9.7,13.7,6,0,2,4,7,12,32
Alabama,2020-09-15,334.5,,15.1,25,8,0,3,6,11,17,47.1
Alabama,2020-09-16,360,,23.4,44.6,13,1,5,10,17,26,73
Alaska,2020-06-22,11,0,,,,,,,,,
Alaska,2020-06-23,34,0,,,,,,,,,
Alaska,2020-06-24,23,0,,,,,,,,,
Alaska,2020-06-25,44,0,,,,,,,,,
Alaska,2020-06-26,29,2,,,,,,,,,
Alaska,2020-06-27,27,0,,,,,,,,,
Alaska,2020-06-28,32,0,,,,,,,,,
Alaska,2020-06-29,25,0,,,,,,,,,
Alaska,2020-06-30,47,0,,,,,,,,,
Alaska,2020-07-01,42,0,,,,,,,,,
Alaska,2020-07-02,50,0,,,,,,,,,
Alaska,2020-07-03,60,1,,,,,,,,,
Alaska,2020-07-04,55,1,,,,,,,,,
Alaska,2020-07-05,33,0,,,,,,,,,
Alaska,2020-07-06,28,0,,,,,,,,,
Alaska,2020-07-07,24,1,,,,,,,,,
Alaska,2020-07-08,51,0,,,,,,,,,
Alaska,2020-07-09,52,0,,,,,,,,,
Alaska,2020-07-10,54,0,,,,,,,,,
Alaska,2020-07-11,77,0,,,,,,,,,
Alaska,2020-07-12,116,0,,,,,,,,,
Alaska,2020-07-13,71,0,,,,,,,,,
Alaska,2020-07-14,60,0,,,,,,,,,
Alaska,2020-07-15,57,0,,,,,,,,,
Alaska,2020-07-16,78,0,,,,,,,,,
Alaska,2020-07-17,52,0,,,,,,,,,
Alaska,2020-07-18,77,1,,,,,,,,,
Alaska,2020-07-19,116,0,,,,,,,,,
Alaska,2020-07-20,140,0,,,,,,,,,
