Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,23 (1 -- 119),Unsure,1.02 (0.65 -- 1.75),0 (-0.1 -- 0.19),149.7 (3.6 -- -7)
Alaska,1 (0 -- 3),Unsure,1.07 (0.36 -- 1.56),0.02 (-0.15 -- 0.18),36.1 (3.8 -- -4.6)
Arizona,26 (1 -- 101),Unsure,0.94 (0.54 -- 1.47),-0.02 (-0.14 -- 0.12),-39.7 (5.7 -- -5)
Arkansas,22 (6 -- 48),Likely increasing,1.09 (0.87 -- 1.4),0.02 (-0.04 -- 0.11),28 (6.6 -- -18.6)
California,105 (15 -- 198),Unsure,0.97 (0.65 -- 1.23),-0.01 (-0.1 -- 0.06),-93.3 (10.9 -- -6.9)
Colorado,3 (0 -- 10),Unsure,0.97 (0.48 -- 1.43),-0.01 (-0.14 -- 0.13),-74.7 (5.3 -- -5.1)
Connecticut,0 (0 -- 2),Unsure,0.83 (0.32 -- 1.39),-0.05 (-0.21 -- 0.1),-14.6 (6.7 -- -3.2)
Delaware,0 (0 -- 2),Unsure,0.84 (0.2 -- 1.33),-0.04 (-0.23 -- 0.11),-15.6 (6.3 -- -3)
District of Columbia,0 (0 -- 1),Unsure,0.88 (0.18 -- 1.31),-0.03 (-0.25 -- 0.1),-20.6 (7.2 -- -2.8)
Florida,40 (1 -- 93),Likely decreasing,0.79 (0.47 -- 1.13),-0.06 (-0.16 -- 0.04),-11.8 (19 -- -4.3)
Georgia,109 (20 -- 186),Unsure,1.08 (0.78 -- 1.27),0.02 (-0.06 -- 0.07),32.6 (9.3 -- -11.6)
Hawaii,7 (0 -- 29),Likely increasing,1.28 (0.73 -- 2.1),0.07 (-0.07 -- 0.28),9.4 (2.5 -- -9.3)
Idaho,9 (0 -- 25),Unsure,1.05 (0.63 -- 1.57),0.01 (-0.11 -- 0.15),51.1 (4.7 -- -6.5)
Illinois,20 (6 -- 36),Unsure,1.01 (0.79 -- 1.25),0 (-0.06 -- 0.07),169.7 (10 -- -12.2)
Indiana,11 (2 -- 18),Unsure,0.99 (0.69 -- 1.19),0 (-0.09 -- 0.05),-391.8 (13.4 -- -7.8)
Iowa,16 (3 -- 41),Likely increasing,1.08 (0.79 -- 1.48),0.02 (-0.05 -- 0.13),31.8 (5.4 -- -12.9)
Kansas,3 (0 -- 10),Unsure,0.98 (0.46 -- 1.41),0 (-0.15 -- 0.12),-152.9 (5.8 -- -4.6)
Kentucky,10 (0 -- 26),Unsure,1.06 (0.7 -- 1.45),0.02 (-0.09 -- 0.11),45.3 (6 -- -8.1)
Louisiana,19 (0 -- 46),Unsure,0.92 (0.52 -- 1.28),-0.02 (-0.15 -- 0.07),-30.6 (9.6 -- -4.8)
Maine,0 (0 -- 1),Unsure,0.9 (0.28 -- 1.29),-0.03 (-0.22 -- 0.09),-24 (7.8 -- -3.2)
Maryland,8 (1 -- 19),Unsure,0.99 (0.74 -- 1.36),0 (-0.08 -- 0.09),-372.9 (7.3 -- -9)
Massachusetts,16 (3 -- 34),Unsure,1.01 (0.76 -- 1.31),0 (-0.07 -- 0.08),397.2 (8.6 -- -9.7)
Michigan,31 (0 -- 213),Likely increasing,1.16 (0.65 -- 2.02),0.04 (-0.09 -- 0.27),15.9 (2.6 -- -8.1)
Minnesota,4 (0 -- 14),Unsure,0.85 (0.22 -- 1.19),-0.04 (-0.24 -- 0.06),-17.1 (11.1 -- -2.9)
Mississippi,20 (0 -- 47),Unsure,0.95 (0.55 -- 1.34),-0.01 (-0.12 -- 0.1),-54.5 (6.7 -- -5.8)
Missouri,16 (0 -- 51),Unsure,1.07 (0.57 -- 1.6),0.02 (-0.1 -- 0.17),38.2 (4 -- -6.8)
Montana,2 (0 -- 8),Unsure,1.03 (0.45 -- 1.59),0.01 (-0.16 -- 0.16),76.7 (4.4 -- -4.4)
Nebraska,2 (0 -- 6),Unsure,0.96 (0.43 -- 1.41),-0.01 (-0.15 -- 0.13),-58.8 (5.4 -- -4.8)
Nevada,9 (0 -- 26),Unsure,0.9 (0.38 -- 1.25),-0.03 (-0.19 -- 0.06),-25.2 (10.9 -- -3.6)
New Hampshire,0 (0 -- 1),Unsure,0.91 (0.34 -- 1.35),-0.02 (-0.19 -- 0.1),-27.8 (6.7 -- -3.7)
New Jersey,2 (0 -- 10),Unsure,0.87 (0.52 -- 1.43),-0.04 (-0.14 -- 0.11),-18.9 (6 -- -4.9)
New Mexico,3 (0 -- 6),Unsure,0.94 (0.53 -- 1.25),-0.02 (-0.13 -- 0.08),-42.2 (9 -- -5.5)
New York,6 (0 -- 20),Unsure,0.94 (0.59 -- 1.4),-0.02 (-0.1 -- 0.12),-40.7 (5.9 -- -6.6)
North Carolina,26 (3 -- 60),Unsure,1.01 (0.6 -- 1.36),0 (-0.12 -- 0.09),253 (7.4 -- -5.9)
North Dakota,1 (0 -- 3),Unsure,0.99 (0.44 -- 1.39),0 (-0.17 -- 0.1),-183.4 (6.6 -- -4.2)
Ohio,52 (0 -- 333),Unsure,1.1 (0.65 -- 2.02),0.03 (-0.08 -- 0.27),24.3 (2.6 -- -8.2)
Oklahoma,14 (1 -- 24),Unsure,1.06 (0.77 -- 1.32),0.02 (-0.07 -- 0.08),41.3 (8.2 -- -10.4)
Oregon,7 (0 -- 23),Unsure,1.06 (0.68 -- 1.6),0.02 (-0.07 -- 0.17),42.5 (4 -- -10.1)
Pennsylvania,12 (0 -- 22),Unsure,0.97 (0.44 -- 1.19),-0.01 (-0.17 -- 0.05),-75 (13.8 -- -4)
Puerto Rico,6 (0 -- 19),Unsure,0.94 (0.43 -- 1.4),-0.02 (-0.17 -- 0.11),-42.3 (6.4 -- -4.1)
Rhode Island,3 (0 -- 21),Unsure,1.11 (0.45 -- 2.01),0.03 (-0.15 -- 0.26),23.1 (2.6 -- -4.5)
South Carolina,22 (1 -- 62),Unsure,0.94 (0.49 -- 1.33),-0.02 (-0.13 -- 0.1),-39.6 (6.7 -- -5.2)
South Dakota,1 (0 -- 2),Unsure,0.95 (0.39 -- 1.3),-0.01 (-0.19 -- 0.08),-54.8 (8.7 -- -3.7)
Tennessee,37 (11 -- 69),Unsure,1.06 (0.86 -- 1.32),0.02 (-0.04 -- 0.08),40.6 (8.4 -- -17.4)
Texas,113 (0 -- 321),Unsure,0.93 (0.49 -- 1.36),-0.02 (-0.16 -- 0.09),-33.4 (7.4 -- -4.4)
US,797 (256 -- 1396),Unsure,0.97 (0.7 -- 1.19),-0.01 (-0.07 -- 0.07),-77.2 (10.3 -- -10)
Utah,2 (0 -- 5),Unsure,0.92 (0.43 -- 1.2),-0.02 (-0.16 -- 0.07),-30 (10.1 -- -4.3)
Virginia,18 (0 -- 41),Unsure,1.03 (0.63 -- 1.39),0.01 (-0.11 -- 0.1),86.5 (6.9 -- -6.4)
Washington,2 (0 -- 10),Likely decreasing,0.74 (0.15 -- 1.12),-0.08 (-0.26 -- 0.06),-9.2 (12.6 -- -2.7)
West Virginia,10 (0 -- 31),Unsure,1.17 (0.57 -- 1.67),0.05 (-0.11 -- 0.18),15.1 (3.8 -- -6.4)
Wisconsin,6 (0 -- 15),Unsure,0.99 (0.47 -- 1.39),0 (-0.16 -- 0.1),-263.8 (6.9 -- -4.3)
