forecast_date,target,target_end_date,location,type,quantile,value
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.01,15777.949999999999
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.025,15928.725
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.05,16098.800000000001
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.1,16301.3
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.15,16460.25
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.2,16551.8
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.25,16659
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.3,16753.7
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.35,16845.3
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.4,16925.4
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.45,17000.1
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.5,17083
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.55,17147
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.6,17222.2
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.65,17328
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.7,17419.3
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.75,17525.25
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.8,17632.4
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.85,17756
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.9,17902
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.95,18145.5
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.975,18332.175
2020-06-11,1 wk ahead cum death,2020-06-13,US,quantile,0.99,18652.71
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.01,19028.47
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.025,19529.475000000002
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.05,19941.649999999998
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.1,20316.8
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.15,20615.1
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.2,20827
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.25,21013.75
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.3,21209.8
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.35,21407.6
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.4,21573
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.45,21706.2
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.5,21861.5
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.55,22062.35
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.6,22212
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.65,22395
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.7,22580.6
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.75,22759.25
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.8,22995.4
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.85,23252.2
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.9,23680.3
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.95,24200.35
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.975,24744.949999999997
2020-06-11,2 wk ahead cum death,2020-06-20,US,quantile,0.99,25382.1
2020-06-11,1 wk ahead cum death,2020-06-13,US,point,NA,17083
2020-06-11,2 wk ahead cum death,2020-06-20,US,point,NA,21861.5
