forecast_date,region,sample,id,predictions,horizon,model,week,true_values
2020-06-15,US,1,2020-06-17,808,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,1,2020-06-18,768,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,1,2020-06-19,766,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,2,2020-06-17,719,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,2,2020-06-18,741,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,2,2020-06-19,759,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,3,2020-06-17,794,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,3,2020-06-18,821,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,3,2020-06-19,807,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,4,2020-06-17,740,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,4,2020-06-18,760,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,4,2020-06-19,736,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,5,2020-06-17,812,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,5,2020-06-18,751,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,5,2020-06-19,800,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,6,2020-06-17,768,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,6,2020-06-18,743,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,6,2020-06-19,759,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,7,2020-06-17,793,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,7,2020-06-18,859,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,7,2020-06-19,770,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,8,2020-06-17,804,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,8,2020-06-18,777,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,8,2020-06-19,805,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,9,2020-06-17,754,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,9,2020-06-18,713,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,9,2020-06-19,751,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,10,2020-06-17,721,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,10,2020-06-18,727,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,10,2020-06-19,701,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,11,2020-06-17,800,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,11,2020-06-18,727,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,11,2020-06-19,752,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,12,2020-06-17,818,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,12,2020-06-18,814,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,12,2020-06-19,865,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,13,2020-06-17,801,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,13,2020-06-18,854,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,13,2020-06-19,769,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,14,2020-06-17,852,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,14,2020-06-18,799,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,14,2020-06-19,818,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,15,2020-06-17,760,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,15,2020-06-18,833,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,15,2020-06-19,812,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,16,2020-06-17,881,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,16,2020-06-18,819,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,16,2020-06-19,824,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,17,2020-06-17,813,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,17,2020-06-18,813,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,17,2020-06-19,812,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,18,2020-06-17,737,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,18,2020-06-18,761,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,18,2020-06-19,682,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,19,2020-06-17,837,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,19,2020-06-18,777,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,19,2020-06-19,798,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,20,2020-06-17,828,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,20,2020-06-18,724,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,20,2020-06-19,792,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,21,2020-06-17,774,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,21,2020-06-18,789,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,21,2020-06-19,755,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,22,2020-06-17,770,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,22,2020-06-18,734,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,22,2020-06-19,764,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,23,2020-06-17,806,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,23,2020-06-18,768,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,23,2020-06-19,789,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,24,2020-06-17,779,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,24,2020-06-18,745,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,24,2020-06-19,798,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,25,2020-06-17,784,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,25,2020-06-18,790,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,25,2020-06-19,801,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,26,2020-06-17,724,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,26,2020-06-18,711,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,26,2020-06-19,661,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,27,2020-06-17,714,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,27,2020-06-18,813,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,27,2020-06-19,730,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,28,2020-06-17,774,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,28,2020-06-18,782,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,28,2020-06-19,758,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,29,2020-06-17,846,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,29,2020-06-18,816,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,29,2020-06-19,765,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,30,2020-06-17,772,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,30,2020-06-18,780,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,30,2020-06-19,698,3,EpiSoon_rt,2020-06-14,678
2020-06-15,US,31,2020-06-17,722,1,EpiSoon_rt,2020-06-14,759
2020-06-15,US,31,2020-06-18,750,2,EpiSoon_rt,2020-06-14,717
2020-06-15,US,31,2020-06-19,776,3,EpiSoon_rt,2020-06-14,678
