region,point,lower,upper,mid_lower,mid_upper,metric,Expected change in daily cases
US,612,260,950,502,735,New confirmed cases by infection date,Unsure
California,92,20,196,62,111,New confirmed cases by infection date,Unsure
Florida,74,16,165,48,90,New confirmed cases by infection date,Unsure
Georgia,49,1,103,18,59,New confirmed cases by infection date,Unsure
Texas,49,0,135,0,49,New confirmed cases by infection date,Likely decreasing
Tennessee,38,6,142,19,43,New confirmed cases by infection date,Unsure
Illinois,27,8,53,19,31,New confirmed cases by infection date,Unsure
North Carolina,23,4,43,15,27,New confirmed cases by infection date,Unsure
South Carolina,23,6,53,15,26,New confirmed cases by infection date,Unsure
Kansas,20,0,104,3,22,New confirmed cases by infection date,Likely increasing
Ohio,18,0,42,8,24,New confirmed cases by infection date,Unsure
Arkansas,17,1,28,11,21,New confirmed cases by infection date,Unsure
Louisiana,17,1,39,7,19,New confirmed cases by infection date,Unsure
Michigan,15,0,42,0,15,New confirmed cases by infection date,Unsure
Mississippi,14,2,28,8,18,New confirmed cases by infection date,Unsure
Kentucky,12,0,23,8,16,New confirmed cases by infection date,Unsure
Massachusetts,12,1,26,7,15,New confirmed cases by infection date,Unsure
Minnesota,12,0,84,3,13,New confirmed cases by infection date,Unsure
Missouri,12,0,29,0,12,New confirmed cases by infection date,Unsure
Arizona,10,0,21,5,13,New confirmed cases by infection date,Likely decreasing
Indiana,10,2,18,7,13,New confirmed cases by infection date,Unsure
Oklahoma,10,0,32,5,12,New confirmed cases by infection date,Unsure
Pennsylvania,10,0,20,3,12,New confirmed cases by infection date,Unsure
Puerto Rico,10,0,27,4,11,New confirmed cases by infection date,Unsure
Alabama,8,0,21,1,9,New confirmed cases by infection date,Unsure
New Jersey,8,0,28,1,9,New confirmed cases by infection date,Unsure
Nevada,7,0,22,2,8,New confirmed cases by infection date,Unsure
Iowa,6,0,13,0,6,New confirmed cases by infection date,Unsure
Hawaii,5,0,13,0,5,New confirmed cases by infection date,Unsure
Nebraska,5,0,33,1,6,New confirmed cases by infection date,Unsure
Wisconsin,5,0,14,2,6,New confirmed cases by infection date,Unsure
Idaho,4,0,9,2,5,New confirmed cases by infection date,Unsure
Maryland,4,0,8,3,6,New confirmed cases by infection date,Unsure
Montana,4,0,21,1,4,New confirmed cases by infection date,Unsure
Oregon,4,0,9,2,5,New confirmed cases by infection date,Unsure
North Dakota,3,0,7,1,3,New confirmed cases by infection date,Unsure
Rhode Island,3,0,11,1,4,New confirmed cases by infection date,Unsure
