Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,8 (0 -- 21),Unsure,0.92 (0.46 -- 1.24),-0.02 (-0.16 -- 0.07),-32.2 (10.1 -- -4.4)
Alaska,0 (0 -- 2),Unsure,0.97 (0.19 -- 1.41),-0.01 (-0.26 -- 0.11),-98.4 (6.3 -- -2.6)
Arizona,10 (0 -- 21),Likely decreasing,0.87 (0.47 -- 1.12),-0.04 (-0.14 -- 0.05),-18.9 (14.8 -- -4.8)
Arkansas,17 (1 -- 28),Unsure,1.03 (0.61 -- 1.26),0.01 (-0.09 -- 0.09),89.7 (7.6 -- -7.6)
California,92 (20 -- 196),Unsure,0.98 (0.72 -- 1.33),-0.01 (-0.08 -- 0.09),-112 (7.9 -- -8.8)
Colorado,2 (0 -- 7),Unsure,0.94 (0.51 -- 1.37),-0.02 (-0.15 -- 0.1),-40.3 (7.3 -- -4.6)
Connecticut,1 (0 -- 16),Unsure,1.02 (0.49 -- 2.09),0.01 (-0.15 -- 0.28),137.4 (2.5 -- -4.6)
Delaware,1 (0 -- 15),Unsure,1.05 (0.29 -- 1.93),0.01 (-0.15 -- 0.28),52.9 (2.4 -- -4.5)
District of Columbia,1 (0 -- 2),Unsure,0.99 (0.25 -- 1.39),0 (-0.19 -- 0.14),-489.4 (5 -- -3.6)
Florida,74 (16 -- 165),Unsure,0.94 (0.65 -- 1.24),-0.02 (-0.1 -- 0.07),-44.3 (9.8 -- -7.2)
Georgia,49 (1 -- 103),Unsure,0.96 (0.58 -- 1.29),-0.01 (-0.13 -- 0.07),-70.5 (9.4 -- -5.4)
Hawaii,5 (0 -- 13),Unsure,1.1 (0.47 -- 1.5),0.03 (-0.16 -- 0.13),24.4 (5.4 -- -4.3)
Idaho,4 (0 -- 9),Unsure,0.96 (0.56 -- 1.24),-0.01 (-0.13 -- 0.07),-61.3 (10.3 -- -5.4)
Illinois,27 (8 -- 53),Unsure,1.04 (0.83 -- 1.34),0.01 (-0.05 -- 0.09),67.2 (7.9 -- -14.6)
Indiana,10 (2 -- 18),Unsure,0.99 (0.73 -- 1.21),0 (-0.08 -- 0.06),-276.7 (12.2 -- -8.7)
Iowa,6 (0 -- 13),Unsure,0.93 (0.48 -- 1.24),-0.02 (-0.15 -- 0.07),-38.1 (10.6 -- -4.5)
Kansas,20 (0 -- 104),Likely increasing,1.29 (0.76 -- 2.22),0.08 (-0.08 -- 0.29),9.1 (2.4 -- -9.2)
Kentucky,12 (0 -- 23),Unsure,1.06 (0.62 -- 1.33),0.01 (-0.11 -- 0.09),46.2 (8.1 -- -6.4)
Louisiana,17 (1 -- 39),Unsure,0.95 (0.62 -- 1.33),-0.01 (-0.11 -- 0.09),-49 (7.6 -- -6.4)
Maine,0 (0 -- 1),Unsure,0.95 (0.31 -- 1.7),-0.01 (-0.19 -- 0.19),-54.9 (3.6 -- -3.6)
Maryland,4 (0 -- 8),Unsure,0.94 (0.59 -- 1.22),-0.02 (-0.12 -- 0.06),-41.7 (12 -- -5.7)
Massachusetts,12 (1 -- 26),Unsure,0.98 (0.64 -- 1.26),0 (-0.1 -- 0.07),-149.8 (10.1 -- -6.6)
Michigan,15 (0 -- 42),Unsure,1.03 (0.58 -- 1.45),0.01 (-0.12 -- 0.12),95.3 (5.9 -- -5.7)
Minnesota,12 (0 -- 84),Unsure,1.09 (0.56 -- 2.07),0.02 (-0.12 -- 0.27),29.9 (2.5 -- -6)
Mississippi,14 (2 -- 28),Unsure,0.94 (0.6 -- 1.21),-0.02 (-0.11 -- 0.06),-44.8 (11.1 -- -6.3)
Missouri,12 (0 -- 29),Unsure,0.99 (0.41 -- 1.26),0 (-0.16 -- 0.09),-211.4 (7.8 -- -4.5)
Montana,4 (0 -- 21),Unsure,1.09 (0.57 -- 1.84),0.02 (-0.12 -- 0.22),29.6 (3.2 -- -5.8)
Nebraska,5 (0 -- 33),Unsure,1.07 (0.55 -- 1.86),0.02 (-0.12 -- 0.23),34.2 (3 -- -5.9)
Nevada,7 (0 -- 22),Unsure,0.93 (0.51 -- 1.34),-0.02 (-0.15 -- 0.09),-33.7 (7.4 -- -4.7)
New Hampshire,0 (0 -- 2),Unsure,0.92 (0.39 -- 1.85),-0.02 (-0.19 -- 0.21),-30.9 (3.3 -- -3.6)
New Jersey,8 (0 -- 28),Unsure,1 (0.49 -- 1.56),0 (-0.15 -- 0.15),2576.9 (4.7 -- -4.5)
New Mexico,2 (0 -- 5),Unsure,0.94 (0.62 -- 1.19),-0.02 (-0.12 -- 0.05),-44.4 (14.7 -- -6)
New York,2 (0 -- 9),Likely decreasing,0.84 (0.23 -- 1.19),-0.05 (-0.24 -- 0.06),-15.4 (12.5 -- -2.9)
North Carolina,23 (4 -- 43),Unsure,0.99 (0.7 -- 1.23),0 (-0.09 -- 0.06),-210 (11.4 -- -8)
North Dakota,3 (0 -- 7),Unsure,1.07 (0.64 -- 1.46),0.02 (-0.11 -- 0.12),34.6 (5.8 -- -6.5)
Ohio,18 (0 -- 42),Unsure,0.96 (0.44 -- 1.29),-0.01 (-0.16 -- 0.09),-61.7 (7.9 -- -4.4)
Oklahoma,10 (0 -- 32),Unsure,1.02 (0.51 -- 1.66),0.01 (-0.14 -- 0.17),128.7 (4.1 -- -4.8)
Oregon,4 (0 -- 9),Unsure,0.99 (0.66 -- 1.29),0 (-0.09 -- 0.08),-260.6 (8.3 -- -7.7)
Pennsylvania,10 (0 -- 20),Unsure,0.96 (0.53 -- 1.22),-0.01 (-0.14 -- 0.06),-56.8 (11.4 -- -5)
Puerto Rico,10 (0 -- 27),Unsure,1.04 (0.62 -- 1.49),0.01 (-0.1 -- 0.14),61 (5 -- -6.9)
Rhode Island,3 (0 -- 11),Unsure,1.09 (0.69 -- 1.66),0.03 (-0.09 -- 0.17),27.5 (4 -- -8)
South Carolina,23 (6 -- 53),Unsure,0.97 (0.75 -- 1.26),-0.01 (-0.07 -- 0.07),-90.8 (9.9 -- -9.5)
South Dakota,1 (0 -- 7),Unsure,1.02 (0.53 -- 1.72),0 (-0.14 -- 0.18),152.8 (3.9 -- -4.9)
Tennessee,38 (6 -- 142),Unsure,1.07 (0.7 -- 1.68),0.02 (-0.08 -- 0.18),38.7 (3.9 -- -8.8)
Texas,49 (0 -- 135),Likely decreasing,0.86 (0.36 -- 1.18),-0.04 (-0.19 -- 0.05),-18.3 (12.9 -- -3.6)
US,612 (260 -- 950),Unsure,0.96 (0.79 -- 1.15),-0.01 (-0.06 -- 0.04),-62.1 (17.4 -- -11.2)
Utah,1 (0 -- 3),Unsure,0.91 (0.45 -- 1.21),-0.03 (-0.17 -- 0.05),-26.6 (12.8 -- -4.2)
Virginia,3 (0 -- 12),Likely decreasing,0.8 (0.07 -- 1.18),-0.06 (-0.31 -- 0.06),-12.3 (11 -- -2.2)
Washington,2 (0 -- 8),Unsure,0.8 (0.17 -- 1.26),-0.06 (-0.24 -- 0.09),-12.1 (7.4 -- -2.9)
West Virginia,2 (0 -- 8),Unsure,0.89 (0.27 -- 1.29),-0.03 (-0.22 -- 0.08),-21.8 (8.4 -- -3.2)
Wisconsin,5 (0 -- 14),Unsure,0.98 (0.65 -- 1.35),-0.01 (-0.09 -- 0.1),-120.6 (6.7 -- -7.9)
