forecast_date,submission_date,target,target_end_date,location,type,quantile,value,model
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,point,,298,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.01,138.995,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.025,148.5,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.05,160.475,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.1,181.45,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.15,196.425,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.2,211.4,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.25,225,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.3,239.5,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.35,252.825,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.4,268.5,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.45,281.775,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.5,298,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.55,315.225,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.6,331.2,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.65,349.5,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.7,367,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.75,394.25,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.8,419.6,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.85,449.575,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.9,495.1,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.95,560.075,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.975,626.0375,mean
2020-12-14,2020-12-14,1 wk ahead inc death,2020-12-19,01,quantile,0.99,737.08,mean
2020-12-14,2020-12-14,2 wk ahead inc death,2020-12-26,01,point,,361.5,mean
