Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,11 (0 -- 97),Unsure,1 (0.2 -- 1.8),0 (-0.25 -- 0.2),-518.1 (3.4 -- -2.8)
Alaska,0 (0 -- 2),Unsure,0.8 (0 -- 1.4),-0.05 (-0.36 -- 0.14),-13 (4.9 -- -1.9)
Arizona,1 (0 -- 6),Likely decreasing,0.7 (0 -- 1),-0.1 (-0.34 -- 0.03),-7.1 (25.2 -- -2.1)
Arkansas,29 (0 -- 87),Unsure,1.1 (0.4 -- 1.6),0.02 (-0.19 -- 0.16),34.4 (4.2 -- -3.6)
California,32 (0 -- 76),Likely decreasing,0.9 (0.5 -- 1.2),-0.04 (-0.16 -- 0.07),-19.1 (10.4 -- -4.4)
Colorado,10 (0 -- 41),Unsure,1.1 (0.5 -- 1.7),0.03 (-0.14 -- 0.17),25.3 (4 -- -5)
Connecticut,3 (0 -- 19),Unsure,1.1 (0.1 -- 1.7),0.01 (-0.21 -- 0.24),47.2 (2.9 -- -3.4)
Delaware,2 (0 -- 15),Unsure,1 (0.2 -- 1.7),0.01 (-0.26 -- 0.2),96.9 (3.5 -- -2.7)
District of Columbia,1 (0 -- 10),Unsure,1.1 (0.3 -- 1.9),0.02 (-0.23 -- 0.22),39.9 (3.1 -- -3)
Florida,375 (7 -- 5747),Likely increasing,1.3 (0.5 -- 2.7),0.07 (-0.14 -- 0.41),9.9 (1.7 -- -5.1)
Georgia,31 (1 -- 77),Unsure,1 (0.6 -- 1.3),-0.01 (-0.11 -- 0.09),-101.7 (7.6 -- -6.1)
Guam,1 (0 -- 6),Unsure,0.9 (0 -- 1.5),-0.03 (-0.31 -- 0.16),-25.7 (4.3 -- -2.3)
Hawaii,2 (0 -- 9),Unsure,1 (0.3 -- 1.4),-0.01 (-0.23 -- 0.12),-77.9 (5.7 -- -3.1)
Idaho,3 (0 -- 11),Unsure,1 (0.4 -- 1.5),-0.01 (-0.16 -- 0.14),-80.2 (4.8 -- -4.3)
Illinois,31 (1 -- 61),Unsure,1 (0.6 -- 1.3),0.01 (-0.1 -- 0.08),116.6 (8.4 -- -6.6)
Indiana,26 (0 -- 68),Unsure,1.1 (0.7 -- 1.5),0.03 (-0.09 -- 0.14),23.7 (4.9 -- -7.7)
Iowa,17 (0 -- 66),Unsure,1.1 (0.5 -- 1.7),0.03 (-0.13 -- 0.2),27.1 (3.6 -- -5.2)
Kansas,21 (0 -- 274),Unsure,1.1 (0.2 -- 2.3),0.03 (-0.21 -- 0.34),20.4 (2.1 -- -3.3)
Kentucky,6 (0 -- 16),Unsure,1 (0.5 -- 1.4),-0.01 (-0.14 -- 0.1),-84.6 (6.9 -- -4.9)
Louisiana,8 (0 -- 19),Unsure,0.9 (0.6 -- 1.3),-0.02 (-0.11 -- 0.09),-28 (7.9 -- -6.3)
Maryland,4 (0 -- 15),Unsure,1 (0.5 -- 1.4),-0.01 (-0.14 -- 0.12),-71 (6 -- -4.9)
Massachusetts,12 (0 -- 33),Unsure,1 (0.5 -- 1.4),-0.01 (-0.15 -- 0.11),-98.8 (6.1 -- -4.8)
Michigan,13 (0 -- 60),Unsure,1 (0.2 -- 1.5),0 (-0.21 -- 0.17),585.1 (4 -- -3.4)
Minnesota,10 (0 -- 27),Unsure,1 (0.6 -- 1.5),0.01 (-0.13 -- 0.12),108.5 (5.7 -- -5.4)
Mississippi,10 (0 -- 38),Unsure,1 (0.5 -- 1.5),-0.01 (-0.15 -- 0.12),-56.9 (5.9 -- -4.6)
Missouri,44 (0 -- 204),Unsure,1.1 (0.4 -- 1.7),0.02 (-0.15 -- 0.19),28.6 (3.6 -- -4.7)
Montana,3 (0 -- 20),Unsure,1 (0.3 -- 1.7),0.01 (-0.19 -- 0.2),116.3 (3.4 -- -3.7)
Nebraska,5 (0 -- 34),Unsure,1 (0.3 -- 1.7),0.01 (-0.23 -- 0.18),86.7 (3.8 -- -3)
Nevada,3 (0 -- 13),Unsure,0.9 (0.4 -- 1.3),-0.03 (-0.18 -- 0.09),-24.1 (8.1 -- -3.9)
New Hampshire,12 (0 -- 190),Likely increasing,1.5 (0.1 -- 3.1),0.13 (-0.18 -- 0.55),5.2 (1.3 -- -3.9)
New Jersey,5 (0 -- 19),Unsure,1 (0.4 -- 1.6),-0.01 (-0.17 -- 0.16),-109.7 (4.2 -- -4.2)
New Mexico,3 (0 -- 13),Unsure,1 (0.5 -- 1.6),0 (-0.14 -- 0.16),28098 (4.4 -- -4.9)
New York,13 (0 -- 80),Unsure,1 (0.4 -- 1.8),0.01 (-0.19 -- 0.2),75.9 (3.4 -- -3.7)
North Carolina,12 (0 -- 31),Unsure,0.9 (0.4 -- 1.3),-0.03 (-0.16 -- 0.08),-24.2 (8.5 -- -4.3)
North Dakota,14 (0 -- 37),Unsure,1.1 (0.5 -- 1.5),0.03 (-0.12 -- 0.14),20.7 (5 -- -5.7)
Ohio,6 (0 -- 22),Likely decreasing,0.8 (0.2 -- 1.3),-0.04 (-0.26 -- 0.09),-15.7 (7.8 -- -2.7)
Oklahoma,5 (0 -- 16),Unsure,0.9 (0.4 -- 1.4),-0.01 (-0.17 -- 0.11),-46.8 (6.5 -- -4)
Oregon,4 (0 -- 15),Unsure,1 (0.3 -- 1.6),0 (-0.2 -- 0.15),1021.1 (4.5 -- -3.4)
Pennsylvania,24 (0 -- 87),Unsure,1 (0.5 -- 1.5),0.01 (-0.13 -- 0.16),92.1 (4.4 -- -5.5)
Puerto Rico,4 (0 -- 15),Unsure,0.9 (0.4 -- 1.4),-0.02 (-0.16 -- 0.12),-35.8 (5.5 -- -4.3)
Rhode Island,1 (0 -- 5),Unsure,0.9 (0 -- 1.5),-0.03 (-0.31 -- 0.16),-21.2 (4.3 -- -2.2)
South Carolina,9 (0 -- 23),Unsure,0.9 (0.5 -- 1.3),-0.03 (-0.15 -- 0.07),-25.3 (9.6 -- -4.5)
South Dakota,8 (0 -- 32),Unsure,1.1 (0.5 -- 1.7),0.03 (-0.15 -- 0.19),21.1 (3.7 -- -4.5)
Tennessee,32 (1 -- 76),Unsure,1 (0.6 -- 1.4),0.01 (-0.11 -- 0.1),84.2 (7 -- -6.6)
Texas,73 (0 -- 212),Unsure,1 (0.4 -- 1.4),-0.01 (-0.18 -- 0.11),-66.7 (6.5 -- -3.8)
US,780 (223 -- 1516),Unsure,1 (0.8 -- 1.3),0 (-0.06 -- 0.07),150.1 (9.6 -- -11.6)
Utah,25 (0 -- 191),Unsure,1.3 (0.2 -- 2.4),0.09 (-0.2 -- 0.38),8 (1.8 -- -3.5)
Virginia,2 (0 -- 31),Unsure,0.7 (0 -- 1.6),-0.1 (-0.38 -- 0.19),-7.3 (3.7 -- -1.8)
Washington,4 (0 -- 19),Unsure,0.9 (0.1 -- 1.5),-0.02 (-0.27 -- 0.13),-34 (5.3 -- -2.6)
West Virginia,2 (0 -- 6),Unsure,0.9 (0.2 -- 1.3),-0.03 (-0.2 -- 0.13),-22.4 (5.1 -- -3.6)
Wisconsin,35 (0 -- 153),Unsure,1.2 (0 -- 1.7),0.05 (-0.34 -- 0.17),14.5 (4 -- -2)
