forecast_date,target,target_end_date,location,type,quantile,value
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.01,2636
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.025,2897
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.05,3210
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.1,3643
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.15000000000000002,3812
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.2,4005
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.25,4154
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.3,4310
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.35000000000000003,4429
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.4,4559
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.45,4696
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.5,4813
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.55,4938
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.6000000000000001,5071
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.6500000000000001,5218
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.7000000000000001,5342
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.7500000000000001,5492
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.8,5633
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.8500000000000001,5841
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.9000000000000001,6130
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.95,6485
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.975,6838
2020-07-19,1 wk ahead inc death,2020-07-25,US,quantile,0.99,7045
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.01,2166
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.025,2555
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.05,2958
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.1,3332
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.15000000000000002,3587
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.2,3829
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.25,4000
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.3,4176
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.35000000000000003,4312
2020-07-19,2 wk ahead inc death,2020-08-01,US,quantile,0.4,4472
