week,state,state_code,date_created,model_type,weekly_count,quantile,deaths
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.01,0
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.025,0
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.05,0
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.1,0
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.15000000000000002,0
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.2,0
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.25,0
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.3,0
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.35000000000000003,0
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.4,3
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.45,22
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.5,39
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.55,56
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.6000000000000001,73
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.6500000000000001,92
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.7000000000000001,111
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.7500000000000001,133
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.8,157
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.8500000000000001,186
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.9000000000000001,223
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.95,268
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.975,313
2020-06-21,Alabama,01,2020-06-22,deaths_only,incident,0.99,365
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.01,0
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.025,0
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.05,0
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.1,0
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.15000000000000002,0
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.2,0
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.25,0
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.3,0
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.35000000000000003,0
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.4,0
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.45,0
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.5,0
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.55,0
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.6000000000000001,0
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.6500000000000001,6
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.7000000000000001,6
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.7500000000000001,6
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.8,6
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.8500000000000001,8
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.9000000000000001,12
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.95,12
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.975,17
2020-06-21,Alaska,02,2020-06-22,deaths_only,incident,0.99,18
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.01,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.025,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.05,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.1,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.15000000000000002,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.2,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.25,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.3,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.35000000000000003,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.4,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.45,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.5,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.55,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.6000000000000001,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.6500000000000001,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.7000000000000001,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.7500000000000001,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.8,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.8500000000000001,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.9000000000000001,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.95,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.975,0
2020-06-21,American Samoa,60,2020-06-22,deaths_only,incident,0.99,0
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.01,0
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.025,0
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.05,0
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.1,0
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.15000000000000002,0
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.2,0
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.25,0
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.3,2
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.35000000000000003,13
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.4,44
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.45,73
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.5,102
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.55,129
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.6000000000000001,157
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.6500000000000001,192
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.7000000000000001,223
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.7500000000000001,259
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.8,296
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.8500000000000001,337
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.9000000000000001,400
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.95,486
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.975,560
2020-06-21,Arizona,04,2020-06-22,deaths_only,incident,0.99,638
2020-06-21,Arkansas,05,2020-06-22,deaths_only,incident,0.01,0
2020-06-21,Arkansas,05,2020-06-22,deaths_only,incident,0.025,0
2020-06-21,Arkansas,05,2020-06-22,deaths_only,incident,0.05,0
2020-06-21,Arkansas,05,2020-06-22,deaths_only,incident,0.1,0
2020-06-21,Arkansas,05,2020-06-22,deaths_only,incident,0.15000000000000002,0
2020-06-21,Arkansas,05,2020-06-22,deaths_only,incident,0.2,0
2020-06-21,Arkansas,05,2020-06-22,deaths_only,incident,0.25,0
2020-06-21,Arkansas,05,2020-06-22,deaths_only,incident,0.3,1
2020-06-21,Arkansas,05,2020-06-22,deaths_only,incident,0.35000000000000003,7
2020-06-21,Arkansas,05,2020-06-22,deaths_only,incident,0.4,12
2020-06-21,Arkansas,05,2020-06-22,deaths_only,incident,0.45,18
2020-06-21,Arkansas,05,2020-06-22,deaths_only,incident,0.5,23
2020-06-21,Arkansas,05,2020-06-22,deaths_only,incident,0.55,30
